Date,Open,High,Low,Close,Adj Close,Volume
8/14/2020,3.38,3.53,3.33,3.47,3.47,3434000
8/17/2020,3.52,3.7,3.48,3.69,3.69,3212700
8/18/2020,3.72,3.73,3.53,3.64,3.64,2085500
8/19/2020,3.67,3.72,3.48,3.62,3.62,3173300
8/20/2020,3.59,3.6,3.46,3.51,3.51,2108700
8/21/2020,3.51,3.57,3.44,3.47,3.47,1962100
8/24/2020,3.48,3.5,3.28,3.34,3.34,2037200
8/25/2020,3.36,3.37,3.27,3.34,3.34,1489700
8/26/2020,3.36,3.45,3.31,3.34,3.34,1313500
8/27/2020,3.33,3.37,3.2,3.22,3.22,1868700
8/28/2020,3.22,3.33,3.21,3.32,3.32,1501400
8/31/2020,3.31,3.35,3.23,3.28,3.28,1758900
9/1/2020,3.25,3.29,3.12,3.13,3.13,1939700
9/2/2020,3.15,3.37,3.06,3.3,3.3,2375700
9/3/2020,3.27,3.3,3.15,3.18,3.18,1413200
9/4/2020,3.2,3.23,2.96,3.08,3.08,1675700
9/8/2020,3.12,3.21,3.02,3.09,3.09,1447600
9/9/2020,3.13,3.2,3.11,3.17,3.17,1043800
9/10/2020,3.16,3.28,3.16,3.18,3.18,1395600
9/11/2020,3.24,3.27,3.13,3.2,3.2,994900
9/14/2020,3.24,3.39,3.21,3.37,3.37,2016700
9/15/2020,3.42,3.45,3.32,3.36,3.36,1350800
9/16/2020,3.36,3.49,3.35,3.42,3.42,1479300
9/17/2020,3.4,3.42,3.34,3.39,3.39,982800
9/18/2020,3.41,3.41,3.21,3.36,3.36,3428700
9/21/2020,3.29,3.3,3.14,3.21,3.21,1656700
9/22/2020,3.32,3.32,3.18,3.27,3.27,1002400
9/23/2020,3.27,3.3,3.11,3.11,3.11,1566500
9/24/2020,3.11,3.17,3.01,3.08,3.08,984100
9/25/2020,3.06,3.2,3.06,3.16,3.16,901500
9/28/2020,3.17,3.19,3.07,3.16,3.16,731600
9/29/2020,3.17,3.36,3.02,3.21,3.21,4119300
9/30/2020,3.16,3.25,2.91,2.97,2.97,4947300
10/1/2020,3.02,3.18,3,3.13,3.13,2759200
10/2/2020,3.05,3.12,3.02,3.05,3.05,1149200
10/5/2020,3.08,3.21,3.08,3.21,3.21,1214300
10/6/2020,3.17,3.36,3.08,3.11,3.11,3493500
10/7/2020,3.14,3.27,3.14,3.25,3.25,1627000
10/8/2020,3.3,3.37,3.26,3.3,3.3,1204600
10/9/2020,3.33,3.33,3.23,3.29,3.29,881100
10/12/2020,3.31,3.32,3.19,3.22,3.22,1233300
10/13/2020,3.22,3.3,3.19,3.25,3.25,1280100
10/14/2020,3.23,3.29,3.19,3.19,3.19,840600
10/15/2020,3.18,3.21,3.09,3.19,3.19,1040300
